SupplierPartNumber,Partnumber,Cost,CoreCost,TotalCost,Inventory
V-1875,50613020,4.98,0.00,4.98,99
VS661,50614318,5.92,0.00,5.92,99
106.04110,50617971,57.89,0.00,57.89,99
Centric 12362000,50620173,34.79,0.00,34.79,99
542B,50655900,43.79,0.00,43.79,99
FD129T,50665073,9.39,0.00,9.39,99
FX-186,50673387,73.79,0.00,73.79,99
ATP TF62,50674205,6.07,0.00,6.07,99
ATP FG104,50679949,4.41,0.00,4.41,99
ATP Jo15,50679963,0.79,0.00,0.79,99
674503,50713084,74.79,0.00,74.79,99
111.01540,50713161,29.99,0.00,29.99,99
111.02440,50713162,26.79,0.00,26.79,99
1V1038,50731927,53.89,0.00,53.89,99
Phillips 4057LL,52556792,0.74,0.00,0.74,99
105.17840,52556799,32.99,0.00,32.99,99
105.17910,52556800,30.79,0.00,30.79,99
105.17930,52556801,23.79,0.00,23.79,99
ACDelco 3361789,52556934,43.79,7.00,50.79,99
10332530,52556953,32.99,0.00,32.99,99
10332529,52556954,32.99,0.00,32.99,99
Acdelco 3361849,52556963,39.99,25.00,64.99,99
4894917AH,52559226,1.00,0.00,1.00,99
WC14493,52559255,19.74,0.00,19.74,99
WC14494,52559256,19.74,0.00,19.74,99
Dorman 926578,52607446,46.79,0.00,46.79,99
LARES 187,52607548,21.79,0.00,21.79,99
APDI/PRO 9010320,52610190,94.79,0.00,94.79,99
ACDelco-TR14,52618883,1.81,0.00,1.81,99
102.00080,52626588,12.34,0.00,12.34,99
134.62013,52628172,19.53,0.00,19.53,99
111.01520,52628188,32.79,0.00,32.79,99
134.62014,52634489,19.45,0.00,19.45,99
111.07410,52641878,23.79,0.00,23.79,99
135.64005,52646904,10.29,0.00,10.29,99
135.64006,52646905,8.35,0.00,8.35,99
Mahle MS19408,52663264,24.99,0.00,24.99,99
Mahle 2051,52663624,0.74,0.00,0.74,99
MS15509,52666234,12.06,0.00,12.06,99
Dorman 9021033,52668513,11.30,0.00,11.30,99
Dorman 0901751,52670597,2.61,0.00,2.61,99
LARES 12035,52670604,150.79,0.00,150.79,99
K700508,52670616,12.34,0.00,12.34,99
Standard SLS67,52670845,18.38,0.00,18.38,99
PGD967M,52671979,25.79,0.00,25.79,99
WIX 42061,52672538,7.69,0.00,7.69,99
WIX 58920,52673485,7.41,0.00,7.41,99
Motorad 7200160,52673492,9.15,0.00,9.15,99
7200-180,52673493,9.15,0.00,9.15,99
Motorad 7200195,52673494,9.15,0.00,9.15,99
200180,52678528,3.72,0.00,3.72,99
Standard 12338675,52678558,14.49,0.00,14.49,99
3342108,52683683,41.89,5.00,46.89,99
dorman-54000,52686232,5.29,0.00,5.29,99
Four Seasons 36780,52687953,0.94,0.00,0.94,99
3342099,52739916,40.79,5.00,45.79,99
BRCF282,52740355,394.79,0.00,394.79,99
DORMAN 946812,52743180,417.99,0.00,417.99,99
Walker 36523,52743459,9.74,0.00,9.74,99
FRAM CA11958,52747123,10.22,0.00,10.22,99
SS581,52747147,23.89,0.00,23.89,99
MELLING M68HV,52758832,53.79,0.00,53.79,99
Melling MPR280,52759860,2.11,0.00,2.11,99
Melling MPR311,52759878,1.58,0.00,1.58,99
Melling MRK511,52760166,18.20,0.00,18.20,99
MRK610,52760180,12.66,0.00,12.66,99
MRM1786,52760211,0.63,0.00,0.63,99
V1001,52760922,5.42,0.00,5.42,99
V1242,52760989,6.64,0.00,6.64,99
Melling VS140,52761588,2.57,0.00,2.57,99
VS270,52761686,5.10,0.00,5.10,99
VS280,52761687,6.25,0.00,6.25,99
R85TS,52761769,1.85,0.00,1.85,99
Acdelco 19133779,52764240,35.79,10.00,45.79,99
3342091,52770886,44.89,10.00,54.89,99
Dorman 536453,52774866,11.45,0.00,11.45,99
Wagner 4415A,52775620,5.24,0.00,5.24,99
Cloyes 95587,52776015,34.99,0.00,34.99,99
K2023,52778327,503.99,0.00,503.99,99
K202336,52778328,506.79,0.00,506.79,99
68194928AA,52779061,56.79,0.00,56.79,99
Dorman 097825,52779091,0.53,0.00,0.53,99
153800,52797867,463.79,0.00,463.79,99
Timken PB50F,52804887,2.98,0.00,2.98,99
Timken 710535,52805980,2.81,0.00,2.81,99
Timken 307L,52806521,37.79,0.00,37.79,99
Timken 7486S,52806962,6.72,0.00,6.72,99
18702L,52815953,151.89,0.00,151.89,99
187-02R,52815954,151.89,0.00,151.89,99
F6TZ8A284AC,52816317,53.99,0.00,53.99,99
91200ASK,52819907,249.79,0.00,249.79,99
NATIONAL 614038,52821204,42.79,0.00,42.79,99
Mahle 55134,52821947,44.79,0.00,44.79,99
Mahle 55135,52821948,40.79,0.00,40.79,99
SP413,52826107,3.14,0.00,3.14,99
USA21497,52828837,451.79,0.00,451.79,99
BRCF275,52833315,380.99,0.00,380.99,99
NBRC-15-RM,52880111,60.79,50.00,110.79,99
NBRC-16-RM,52880112,58.79,50.00,108.79,99
484145,52880598,1.55,0.00,1.55,99
SP589,52885193,4.23,0.00,4.23,99
WIX 42091,52888216,10.32,0.00,10.32,99
Acdelco D618,52888243,62.79,0.00,62.79,99
Motorcraft WPT1492,52889711,38.79,0.00,38.79,99
Motorcraft RS531,52889904,13.87,0.00,13.87,99
Motorcraft XY75W85QL,52890291,20.99,0.00,20.99,99
K060806,52890430,27.79,0.00,27.79,99
RC12YC,52890458,1.75,0.00,1.75,99
NYCC27,52890797,283.79,0.00,283.79,99
Dorman 565077,52892344,5.16,0.00,5.16,99
Motorcraft MEF314,52892599,30.79,0.00,30.79,99
YCC379,52892604,371.79,0.00,371.79,99
SS-555-HD,52892725,21.79,0.00,21.79,99
Mopar 68040880AG,52892735,161.79,0.00,161.79,99
Motorcraft DG521,52892739,41.89,0.00,41.89,99
MRM1740,52893002,0.90,0.00,0.90,99
